To,From,Reason for Dishing,Date,Room
eduardovegap#0422,Zeptimus#3359,and anyone involve in the onboarding joruney! 🙏,Nov-24-2021,🎫｜general
Vyvy-vi#5040,Zeptimus#3359,and anyone involve in the onboarding joruney! 🙏,Nov-24-2021,🎫｜general
eduardovegap#0422,John V#2787,I can’t wait to get started 🙂,Dec-02-2021,🎫｜general
JL#3980,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
kristofer#1475,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
markop#2007,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
catarina#7223,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
ZER8🧠#9093,iviangita#3204,for writing his first tweet for TEC Twitter 😊,Oct-28-2021,🙏｜praise
Zeptimus#3359,karmaticacid#1218,for the awesome param party hang out! love discussing the params with you!!,Oct-28-2021,🙏｜praise
divine_comedian#5493,Zeptimus#3359,and  for being great param party host had so much fun!,Oct-28-2021,🙏｜praise
karmaticacid#1218,Zeptimus#3359,and  for being great param party host had so much fun!,Oct-28-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for recording the CS AMA about TEC's Collaborative Economics 🙏🏼,Oct-28-2021,🙏｜praise
natesuits#4789,Tam2140#9361,to   and  for getting the TEC live on Boardroom!,Oct-28-2021,🙏｜praise
mateodaza#3156,Tam2140#9361,to   and  for getting the TEC live on Boardroom!,Oct-28-2021,🙏｜praise
Vyvy-vi#5040,Tam2140#9361,to   and  for getting the TEC live on Boardroom!,Oct-28-2021,🙏｜praise
liviade#1387,iviangita#3204,for taking on the governance of Param Parties and how we’re gonna make the decisions,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
pKrepe#5682,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
ygg_anderson#4998,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
sem  🐝#0161,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
markop#2007,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Vitor Marthendal#0090,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
fabiomendes#4802,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
pKrepe#5682,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
ygg_anderson#4998,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
sem  🐝#0161,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
markop#2007,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Vitor Marthendal#0090,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
fabiomendes#4802,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for always being on it to record calls,Oct-29-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for always being on it to put out the graphics for all the Youtube videos and keeping our Youtube channel clean,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for doing all of these so much work that is happening all the time every week so people don’t miss these calls,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for getting Boardroom up,Oct-29-2021,🙏｜praise
mateodaza#3156,iviangita#3204,for getting Boardroom up,Oct-29-2021,🙏｜praise
Vyvy-vi#5040,iviangita#3204,for getting Boardroom up,Oct-29-2021,🙏｜praise
liviade#1387,iviangita#3204,for always caring so much about our community and making sure we stay culture forward in this community,Oct-29-2021,🙏｜praise
ZER8🧠#9093,iviangita#3204,for integrating very well in the Comms team and learning about how Twitter process is going,Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for his commitment to Graviton Training and NVC Book Club,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for always taking care that everything is well executed in Comms,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for always taking care that everything is well executed in Comms,Oct-29-2021,🙏｜praise
